SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,34685000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004001004,无形资产,189747000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004001019,其他投资,554509000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,459968000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004001030,中长期存款,405009000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,253462000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,1897380000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002001,存货,171617000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,3085640000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,535966000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,2511000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,858618000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002011,短期存款,559653000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),475234000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002023,合同资产,1026000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,5690265000.0,2024-12-31 00:00:00
