SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001001,除税前溢利(业务利润),-290088000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001003,加:利息支出,5898000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001004,减:投资收益,51866000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001005,减:应占附属公司溢利,19265000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001006,加:减值及拨备,206153000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001007,减:重估盈余,39815000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001008,减:出售资产之溢利,6384000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001009,加:折旧及摊销,22400000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001010,减:汇兑收益,7827000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001997,加:经营调整其他项目,-40870000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001999,营运资金变动前经营溢利,-221664000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002001,存货(增加)减少,-35708000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002002,应收帐款减少,-1700754000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),1356926000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002006,营运资本变动其他项目,67976000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),-128303000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),-32519000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002014,存款(增加)减少,51970000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002999,经营产生现金,-642076000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003001,已收利息(经营),23551000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003003,已付税项,3475000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,-622000000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005001,已收利息(投资),47871000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005002,已收股息(投资),2207000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005003,存款减少(增加),-290701000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005004,处置固定资产,368000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005005,购建固定资产,28313000
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005008,出售附属公司,18801000
