SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001001,营业额,5260650000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001999,营运收入,5260650000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004005002,销售成本,3015821000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004007999,毛利,2244829000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010001,其他收入,120145000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010002,其他收益,111681000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,268699000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010004,行政开支,193310000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010005,减值及拨备,199961000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010010,研发费用,2169767000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010999,经营溢利,-355082000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011200,利息收入,51866000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011201,融资成本,6137000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011997,溢利其他项目,19265000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011999,除税前溢利,-290088000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012001,税项,6179000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,-296267000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012999,除税后溢利,-296267000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025001,少数股东损益,-27479000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,-268788000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,-0.58
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,-0.58
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,-7703000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030999,其他全面收益,-7703000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004039999,全面收益总额,-303970000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-27479000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-276491000.0
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004099999,非运算项目,-3015821000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004001001,营业额,4204142000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004001999,营运收入,4204142000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004005002,销售成本,2224594000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004007999,毛利,1979548000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010001,其他收入,89426000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010002,其他收益,-548000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010003,销售及分销费用,423384000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010004,行政开支,341943000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010005,减值及拨备,79537000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010010,研发费用,1768996000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010999,经营溢利,-545434000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011200,利息收入,54218000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011201,融资成本,438016000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011997,溢利其他项目,-1597000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011999,除税前溢利,-930829000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012001,税项,-10260000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012002,持续经营业务税后利润,-920569000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012999,除税后溢利,-920569000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025001,少数股东损益,-11852000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025002,股东应占溢利,-908717000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027002,每股基本盈利,-2.8
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027003,每股摊薄盈利,-2.8
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030997,其他全面收益其他项目,2688000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030999,其他全面收益,2688000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004039999,全面收益总额,-917881000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-11852000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-906029000.0
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004099999,非运算项目,-2224594000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001001,营业额,3082637000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001999,营运收入,3082637000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004005002,销售成本,1595991000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004007999,毛利,1486646000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010001,其他收入,62662000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010002,其他收益,63504000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010003,销售及分销费用,412152000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010004,行政开支,527638000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010005,减值及拨备,48914000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010010,研发费用,1650010000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010999,经营溢利,-1025902000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011200,利息收入,46183000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011201,融资成本,682175000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011997,溢利其他项目,-3200000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011999,除税前溢利,-1665094000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012001,税项,-11673000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012002,持续经营业务税后利润,-1653421000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012999,除税后溢利,-1653421000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025001,少数股东损益,-8524000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025002,股东应占溢利,-1644897000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027002,每股基本盈利,-6.15
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027003,每股摊薄盈利,-6.15
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030997,其他全面收益其他项目,-2817000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030999,其他全面收益,-2817000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004039999,全面收益总额,-1656238000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-8524000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-1647714000.0
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004099999,非运算项目,-1595991000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001001,营业额,2018399000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001999,营运收入,2018399000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004005002,销售成本,1064924000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004007999,毛利,953475000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010001,其他收入,41627000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010002,其他收益,93514000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010003,销售及分销费用,455001000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010004,行政开支,541730000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010005,减值及拨备,15206000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010010,研发费用,1249485000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010999,经营溢利,-1172806000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011200,利息收入,24416000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011201,融资成本,647111000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011997,溢利其他项目,3802000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011999,除税前溢利,-1791699000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012001,税项,10369000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012002,持续经营业务税后利润,-1802068000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012999,除税后溢利,-1802068000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025001,少数股东损益,-16413000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025002,股东应占溢利,-1785655000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027002,每股基本盈利,-7.63
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027003,每股摊薄盈利,-7.63
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004030997,其他全面收益其他项目,10997000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004030999,其他全面收益,10997000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004039999,全面收益总额,-1791071000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-16413000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-1774658000.0
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004099999,非运算项目,-1064924000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004001001,营业额,942238000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004001999,营运收入,942238000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004005002,销售成本,512503000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004007999,毛利,429735000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010001,其他收入,42583000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010002,其他收益,29604000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010003,销售及分销费用,247829000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010004,行政开支,246493000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010005,减值及拨备,1992000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010010,研发费用,565674000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010999,经营溢利,-560066000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011200,利息收入,6038000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011201,融资成本,188978000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011997,溢利其他项目,-6477000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011999,除税前溢利,-749483000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012001,税项,727000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012002,持续经营业务税后利润,-750210000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012999,除税后溢利,-750210000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025001,少数股东损益,-560000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025002,股东应占溢利,-749650000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027002,每股基本盈利,-4.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027003,每股摊薄盈利,-4.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030997,其他全面收益其他项目,1451000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030999,其他全面收益,1451000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004039999,全面收益总额,-748759000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-560000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-748199000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004099999,非运算项目,-512503000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001001,营业额,459518000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001999,营运收入,459518000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004005002,销售成本,259437000.0
